atk,df,hp,spAtk,spDf,spd,中文名稱,全國編號,初始親密,夢特1,孵化步數,屬性,性別比例,捕捉機率,日文名稱,特性1,特性2,總經驗值,英文名稱,蛋組,身高,進化0,進化1,阿羅拉,體重,屬性1,屬性2
20.0,55.0,50.0,25.0,25.0,30.0,鐵甲蛹,11.0,70,沒有隱藏特性,3840.0,蟲,♂ 1 : ♀ 1,120.0,トランセル,蛻皮,,1000000.0,Metapod,昆蟲類,"0.7m / 2'04""",010綠毛蟲→011鐵甲蛹進化條件：Level 7,011鐵甲蛹→012巴大蝶進化條件：Level 10,18,9.9kg / 21.8lbs,蟲,
45.0,50.0,60.0,90.0,80.0,70.0,巴大蝶,12.0,70,有色眼鏡,3840.0,蟲 / 飛,♂ 1 : ♀ 1,45.0,バタフリー,,,1000000.0,Butterfree,昆蟲類,"1.1m / 3'07""",010綠毛蟲→011鐵甲蛹進化條件：Level 7,011鐵甲蛹→012巴大蝶進化條件：Level 10,19,32kg / 70.5lbs,蟲 , 飛
35.0,30.0,40.0,20.0,20.0,50.0,獨角蟲,13.0,70,逃跑,3840.0,蟲 / 毒,♂ 1 : ♀ 1,255.0,ビードル,鱗粉,,1000000.0,Weedle,昆蟲類,"0.3m / 1'00""",013獨角蟲→014鐵殼蛹進化條件：Level 7,014鐵殼蛹→015大針蜂進化條件：Level 10,---,3.2kg / 7.1lbs,蟲 , 毒
25.0,50.0,45.0,25.0,25.0,35.0,鐵殼蛹,14.0,70,沒有隱藏特性,3840.0,蟲 / 毒,♂ 1 : ♀ 1,120.0,コクーン,蛻皮,,1000000.0,Kakuna,昆蟲類,"0.6m / 2'00""",013獨角蟲→014鐵殼蛹進化條件：Level 7,014鐵殼蛹→015大針蜂進化條件：Level 10,---,10kg / 22lbs,蟲 , 毒
90.0,40.0,65.0,45.0,80.0,75.0,大針蜂,15.0,70,狙擊手,3840.0,蟲 / 毒,♂ 1 : ♀ 1,45.0,スピアー,蟲之預感,,1000000.0,Beedrill,昆蟲類,"1m / 3'03""",013獨角蟲→014鐵殼蛹進化條件：Level 7,014鐵殼蛹→015大針蜂進化條件：Level 10,---,29.5kg / 65lbs,蟲 , 毒
45.0,40.0,40.0,35.0,35.0,56.0,波波,16.0,70,健壯胸肌,3840.0,普 / 飛,♂ 1 : ♀ 1,255.0,ポッポ,銳利目光,,1059860.0,Pidgey,飛行類,"0.3m / 1'00""",016波波→017比比鳥進化條件：Level 18,017比比鳥→018大比鳥進化條件：Level 36,---,1.8kg / 4lbs,普 , 飛
60.0,55.0,63.0,50.0,50.0,71.0,比比鳥,17.0,70,健壯胸肌,3840.0,普 / 飛,♂ 1 : ♀ 1,120.0,ピジョン,銳利目光,,1059860.0,Pidgeotto,飛行類,"1.1m / 3'07""",016波波→017比比鳥進化條件：Level 18,017比比鳥→018大比鳥進化條件：Level 36,---,30kg / 66.1lbs,普 , 飛
80.0,75.0,83.0,70.0,70.0,101.0,大比鳥,18.0,70,健壯胸肌,3840.0,普 / 飛,♂ 1 : ♀ 1,45.0,ピジョット,銳利目光,,1059860.0,Pidgeot,飛行類,"1.5m / 4'11""",016波波→017比比鳥進化條件：Level 18,017比比鳥→018大比鳥進化條件：Level 36,---,39.5kg / 87.1lbs,普 , 飛
56.0,35.0,30.0,25.0,35.0,72.0,小拉達,19.0,70,沒有隱藏特性,3840.0,普,♂ 1 : ♀ 1,255.0,コラッタ,逃跑,毅力,1000000.0,Rattata,陸上類,"0.3m / 0.3m / 1'00"" / 1'00""",019小拉達→020拉達進化條件：Level 20,,15,3.5kg / 3.8kg / 7.7lbs / 8.4lbs,普,
81.0,60.0,55.0,50.0,70.0,97.0,拉達,20.0,70,沒有隱藏特性,3840.0,普,♂ 1 : ♀ 1,127.0,ラッタ,逃跑,毅力,1000000.0,Raticate,陸上類,"0.7m / 0.7m / 2'04"" / 2'04""",019小拉達→020拉達進化條件：Level 20,,16,18.5kg / 25.5kg / 40.8lbs / 56.2lbs,普,
60.0,30.0,40.0,31.0,31.0,70.0,烈雀,21.0,70,狙擊手,3840.0,普 / 飛,♂ 1 : ♀ 1,255.0,オニスズメ,銳利目光,,1000000.0,Spearow,飛行類,"0.3m / 1'00""",021烈雀→022大嘴雀進化條件：Level 20,,73,2kg / 4.4lbs,普 , 飛
90.0,65.0,65.0,61.0,61.0,100.0,大嘴雀,22.0,70,狙擊手,3840.0,普 / 飛,♂ 1 : ♀ 1,90.0,オニドリル,銳利目光,,1000000.0,Fearow,飛行類,"1.2m / 3'11""",021烈雀→022大嘴雀進化條件：Level 20,,74,38kg / 83.8lbs,普 , 飛
60.0,44.0,35.0,40.0,54.0,55.0,阿柏蛇,23.0,70,緊張感,5120.0,毒,♂ 1 : ♀ 1,255.0,アーボ,威嚇,,1000000.0,Ekans,陸上類 / 龍類,"2m / 6'07""",023阿柏蛇→024阿柏怪進化條件：Level 22,,---,6.9kg / 15.2lbs,毒,
95.0,69.0,60.0,65.0,79.0,80.0,阿柏怪,24.0,70,緊張感,5120.0,毒,♂ 1 : ♀ 1,90.0,アーボック,威嚇,,1000000.0,Arbok,陸上類 / 龍類,"3.5m / 11'06""",023阿柏蛇→024阿柏怪進化條件：Level 22,,---,65kg / 143.3lbs,毒,
55.0,40.0,35.0,50.0,50.0,90.0,皮卡丘,25.0,70,沒有隱藏特性,2560.0,電,♂ 1 : ♀ 1,190.0,ピカチュウ,靜電,,1000000.0,Pikachu,陸上類 / 妖精類,"0.4m / 1'04""",,,25,6kg / 13.2lbs,電,
90.0,55.0,60.0,90.0,80.0,110.0,雷丘,26.0,70,沒有隱藏特性,2560.0,電,♂ 1 : ♀ 1,75.0,ライチュウ,靜電,,1000000.0,Raichu,陸上類 / 妖精類,"0.8m / 0.7m / 2'07"" / 2'04""",,,26,30.0kg / 21.0kg / 66.1lbs / 46.3lbs,電,
75.0,85.0,50.0,20.0,30.0,40.0,穿山鼠,27.0,70,沒有隱藏特性,5120.0,地,♂ 1 : ♀ 1,255.0,サンド,沙隱,,1000000.0,Sandshrew,陸上類,"0.6m / 0.7m / 2'00"" / 2'04""",027穿山鼠→028穿山王進化條件：Level 22,,251,12.0kg / 40.0kg / 26.5lbs / 88.2lbs,地,
100.0,110.0,75.0,45.0,55.0,65.0,穿山王,28.0,70,沒有隱藏特性,5120.0,地,♂ 1 : ♀ 1,90.0,サンドパン,沙隱,,1000000.0,Sandslash,陸上類,"1.0m / 1.2m / 3'03"" / 3'11""",027穿山鼠→028穿山王進化條件：Level 22,,252,29.5kg / 55.0kg / 65.0lbs / 121.3lbs,地,
47.0,52.0,55.0,40.0,40.0,41.0,尼多蘭,29.0,70,活力,5120.0,毒,♂ 0 : ♀ 1,235.0,ニドラン♀,毒刺,鬥爭心,1059860.0,Nidoran-F,怪獸類 / 陸上類,"0.4m / 1'04""",,,---,7kg / 15.4lbs,毒,
62.0,67.0,70.0,55.0,55.0,56.0,尼多娜,30.0,70,活力,5120.0,毒,♂ 0 : ♀ 1,120.0,ニドリーナ,毒刺,鬥爭心,1059860.0,Nidorina,,"0.8m / 2'07""",,,---,20kg / 44.1lbs,毒,
92.0,87.0,90.0,75.0,85.0,76.0,尼多后,31.0,70,強行,5120.0,毒 / 地,♂ 0 : ♀ 1,45.0,ニドクイン,毒刺,鬥爭心,1059860.0,Nidoqueen,,"1.3m / 4'03""",,,---,60kg / 132.3lbs,毒 , 地
57.0,40.0,46.0,40.0,40.0,50.0,尼多郎,32.0,70,活力,5120.0,毒,♂ 1 : ♀ 0,235.0,ニドラン♂,毒刺,鬥爭心,1059860.0,Nidoran-M,怪獸類 / 陸上類,"0.5m / 1'08""",,,---,9kg / 19.8lbs,毒,
72.0,57.0,61.0,55.0,55.0,65.0,尼多力諾,33.0,70,活力,5120.0,毒,♂ 1 : ♀ 0,120.0,ニドリーノ,毒刺,鬥爭心,1059860.0,Nidorino,怪獸類 / 陸上類,"0.9m / 2'11""",,,---,19.5kg / 43lbs,毒,
102.0,77.0,81.0,85.0,75.0,85.0,尼多王,34.0,70,強行,5120.0,毒 / 地,♂ 1 : ♀ 0,45.0,ニドキング,毒刺,鬥爭心,1059860.0,Nidoking,怪獸類 / 陸上類,"1.4m / 4'07""",,,---,62kg / 136.7lbs,毒 , 地
45.0,48.0,70.0,60.0,65.0,35.0,皮皮,35.0,140,友情防守,2560.0,妖,♂ 1 : ♀ 3,150.0,ピッピ,迷人之軀,,800000.0,Clefairy,妖精類,"0.6m / 2'00""",173皮寶寶→035皮皮進化條件：親密度220或以上時升級,035皮皮→036皮可西進化條件：使用道具「月之石」,211,7.5kg / 16.5lbs,妖,
70.0,73.0,95.0,95.0,90.0,60.0,皮可西,36.0,140,純樸,2560.0,妖,♂ 1 : ♀ 3,25.0,ピクシー,迷人之軀,,800000.0,Clefable,妖精類,"1.3m / 4'03""",173皮寶寶→035皮皮進化條件：親密度220或以上時升級,035皮皮→036皮可西進化條件：使用道具「月之石」,212,40kg / 88.2lbs,妖,
41.0,40.0,38.0,50.0,65.0,65.0,六尾,37.0,70,沒有隱藏特性,5120.0,火,♂ 1 : ♀ 3,190.0,ロコン,引火,日照,1000000.0,Vulpix,陸上類,"0.6m / 0.6m / 2'00"" / 2'00""",,,253,9.9kg / 9.9kg / 21.8lbs / 21.8lbs,火,
76.0,75.0,73.0,81.0,100.0,100.0,九尾,38.0,70,沒有隱藏特性,5120.0,火,♂ 1 : ♀ 3,75.0,キュウコン,引火,日照,1000000.0,Ninetales,陸上類,"1.1m / 1.1m / 3'07"" / 3'07""",火花,,254,19.9kg / 19.9kg / 43.9lbs / 43.9lbs,火,
45.0,20.0,115.0,45.0,25.0,20.0,胖丁,39.0,70,友情防守,2560.0,普 / 妖,♂ 1 : ♀ 3,170.0,プリン,迷人之軀,,800000.0,Jigglypuff,妖精類,"0.5m / 1'08""",174寶寶丁→039胖丁進化條件：親密度220或以上時升級,039胖丁→040胖可丁進化條件：使用道具「月之石」,135,5.5kg / 12.1lbs,普 , 妖
70.0,45.0,140.0,85.0,50.0,45.0,胖可丁,40.0,70,察覺,2560.0,普 / 妖,♂ 1 : ♀ 3,50.0,プクリン,迷人之軀,,800000.0,Wigglytuff,妖精類,"1m / 3'03""",174寶寶丁→039胖丁進化條件：親密度220或以上時升級,039胖丁→040胖可丁進化條件：使用道具「月之石」,136,12kg / 26.5lbs,普 , 妖
45.0,35.0,40.0,30.0,40.0,55.0,超音蝠,41.0,70,穿透,3840.0,毒 / 飛,♂ 1 : ♀ 1,255.0,ズバット,精神力,,1000000.0,Zubat,飛行類,"0.8m / 2'07""",041超音蝠→042大嘴蝠進化條件：Level 22,042大嘴蝠→169叉字蝠進化條件：親密度220或以上時升級,68,7.5kg / 16.5lbs,毒 , 飛
80.0,70.0,75.0,65.0,75.0,90.0,大嘴蝠,42.0,70,穿透,3840.0,毒 / 飛,♂ 1 : ♀ 1,90.0,ゴルバット,精神力,,1000000.0,Golbat,飛行類,"1.6m / 5'03""",041超音蝠→042大嘴蝠進化條件：Level 22,042大嘴蝠→169叉字蝠進化條件：親密度220或以上時升級,69,55kg / 121.3lbs,毒 , 飛
50.0,55.0,45.0,75.0,65.0,30.0,走路草,43.0,70,逃跑,5120.0,草 / 毒,♂ 1 : ♀ 1,255.0,ナゾノクサ,葉綠素,,1059860.0,Oddish,植物類,"0.5m / 1'08""",,,---,5.4kg / 11.9lbs,草 , 毒
65.0,70.0,60.0,85.0,75.0,40.0,臭臭花,44.0,70,惡臭,5120.0,草 / 毒,♂ 1 : ♀ 1,120.0,クサイハナ,葉綠素,,1059860.0,Gloom,植物類,"0.8m / 2'07""",,,---,8.6kg / 19lbs,草 , 毒
80.0,85.0,75.0,110.0,90.0,50.0,霸王花,45.0,70,孢子,5120.0,草 / 毒,♂ 1 : ♀ 1,45.0,ラフレシア,葉綠素,,1059860.0,Vileplume,植物類,"1.2m / 3'11""",,,---,18.6kg / 41lbs,草 , 毒
70.0,55.0,35.0,45.0,55.0,25.0,派拉斯,46.0,70,濕氣,5120.0,蟲 / 草,♂ 1 : ♀ 1,190.0,パラス,孢子,乾燥皮膚,1000000.0,Paras,,"0.3m / 1'00""",046派拉斯→047派拉斯特進化條件：Level 24,,147,5.4kg / 11.9lbs,蟲 , 草
95.0,80.0,60.0,60.0,80.0,30.0,派拉斯特,47.0,70,濕氣,5120.0,蟲 / 草,♂ 1 : ♀ 1,75.0,パラセクト,孢子,乾燥皮膚,1000000.0,Parasect,,"1m / 3'03""",046派拉斯→047派拉斯特進化條件：Level 24,,148,29.5kg / 65lbs,蟲 , 草
55.0,50.0,60.0,40.0,55.0,45.0,毛球,48.0,70,逃跑,5120.0,蟲 / 毒,♂ 1 : ♀ 1,190.0,コンパン,有色眼鏡,,1000000.0,Venonat,昆蟲類,"1m / 3'03""",048毛球→049摩魯蛾進化條件：Level 31,,---,30kg / 66.1lbs,蟲 , 毒
65.0,60.0,70.0,90.0,75.0,90.0,摩魯蛾,49.0,70,奇跡皮膚,5120.0,蟲 / 毒,♂ 1 : ♀ 1,75.0,モルフォン,鱗粉,有色眼鏡,1000000.0,Venomoth,昆蟲類,"1.5m / 4'11""",048毛球→049摩魯蛾進化條件：Level 31,,---,12.5kg / 27.6lbs,蟲 , 毒
55.0,25.0,10.0,35.0,45.0,95.0,地鼠,50.0,70,沒有隱藏特性,5120.0,地,♂ 1 : ♀ 1,255.0,ディグダ,沙隱,,1000000.0,Diglett,陸上類,"0.2m / 0.2m / 0'08"" / 0'08""",050地鼠→051三地鼠進化條件：Level 26,,71,0.8kg / 1.0kg / 1.8lbs / 2.2lbs,地,
100.0,50.0,35.0,50.0,70.0,120.0,三地鼠,51.0,70,沒有隱藏特性,5120.0,地,♂ 1 : ♀ 1,50.0,ダグトリオ,沙隱,,1000000.0,Dugtrio,陸上類,"0.7m / 0.7m / 2'04"" / 2'04""",050地鼠→051三地鼠進化條件：Level 26,,72,33.3kg / 66.6kg / 73.4lbs / 146.8lbs,地,
45.0,35.0,40.0,40.0,40.0,90.0,喵喵,52.0,70,沒有隱藏特性,5120.0,普,♂ 1 : ♀ 1,255.0,ニャース,撿拾,,1000000.0,Meowth,陸上類,"0.4m / 0.4m / 1'04"" / 1'04""",052喵喵→053貓老大進化條件：Level 28,,45,4.2kg / 4.2kg / 9.3lbs / 9.3lbs,普,
70.0,60.0,65.0,65.0,65.0,115.0,貓老大,53.0,70,沒有隱藏特性,5120.0,普,♂ 1 : ♀ 1,90.0,ペルシアン,柔軟,技術高手,1000000.0,Persian,陸上類,"1.0m / 1.1m / 3'03"" / 3'07""",052喵喵→053貓老大進化條件：Level 28,,46,32.0kg / 33.0kg / 70.5lbs / 72.8lbs,普,
52.0,48.0,50.0,65.0,50.0,55.0,可達鴨,54.0,70,悠游自如,5120.0,水,♂ 1 : ♀ 1,190.0,コダック,濕氣,無關天氣,1000000.0,Psyduck,水中類1 / 陸上類,"0.8m / 2'07""",054可達鴨→055哥達鴨進化條件：Level 33,,89,19.6kg / 43.2lbs,水,
82.0,78.0,80.0,95.0,80.0,85.0,哥達鴨,55.0,70,悠游自如,5120.0,水,♂ 1 : ♀ 1,75.0,ゴルダック,濕氣,無關天氣,1000000.0,Golduck,水中類1 / 陸上類,"1.7m / 5'07""",054可達鴨→055哥達鴨進化條件：Level 33,,90,76.6kg / 168.9lbs,水,
80.0,35.0,40.0,35.0,45.0,70.0,猴怪,56.0,70,不服輸,5120.0,格,♂ 1 : ♀ 1,190.0,マンキー,幹勁,,1000000.0,Mankey,陸上類,"0.5m / 1'08""",056猴怪→057火暴猴進化條件：Level 28,,79,28kg / 61.7lbs,格,
105.0,60.0,65.0,60.0,70.0,95.0,火暴猴,57.0,70,不服輸,5120.0,格,♂ 1 : ♀ 1,75.0,オコリザル,幹勁,,1000000.0,Primeape,陸上類,"1m / 3'03""",056猴怪→057火暴猴進化條件：Level 28,,80,32kg / 70.5lbs,格,
70.0,45.0,55.0,70.0,50.0,60.0,卡蒂狗,58.0,70,正義之心,5120.0,火,♂ 3 : ♀ 1,190.0,ガーディ,引火,威嚇,1250000.0,Growlithe,陸上類,"0.7m / 2'04""",,,52,19kg / 41.9lbs,火,
110.0,80.0,90.0,100.0,80.0,95.0,風速狗,59.0,70,正義之心,5120.0,火,♂ 3 : ♀ 1,75.0,ウインディ,引火,威嚇,1250000.0,Arcanine,陸上類,"1.9m / 6'03""",火花基礎雷電牙基礎咬住基礎吼叫基礎,氣味偵測基礎火焰牙Lv34神速,53,155kg / 341.7lbs,火,
50.0,40.0,40.0,40.0,40.0,90.0,蚊香蝌蚪,60.0,70,悠游自如,5120.0,水,♂ 1 : ♀ 1,255.0,ニョロモ,濕氣,儲水,1059860.0,Poliwag,水中類1,"0.6m / 2'00""",,,149,12.4kg / 27.3lbs,水,
65.0,65.0,65.0,50.0,50.0,90.0,蚊香君,61.0,70,悠游自如,5120.0,水,♂ 1 : ♀ 1,120.0,ニョロゾ,濕氣,儲水,1059860.0,Poliwhirl,水中類1,"1m / 3'03""",,,150,20kg / 44.1lbs,水,
95.0,95.0,90.0,70.0,90.0,70.0,蚊香泳士,62.0,70,悠游自如,5120.0,水 / 格,♂ 1 : ♀ 1,45.0,ニョロボン,濕氣,儲水,1059860.0,Poliwrath,水中類1,"1.3m / 4'03""",,,151,54kg / 119lbs,水 , 格
20.0,15.0,25.0,105.0,55.0,90.0,凱西,63.0,70,魔法防守,5120.0,超,♂ 3 : ♀ 1,200.0,ケーシィ,同步,,1059860.0,Abra,人型類,"0.9m / 2'11""",063凱西→064勇基拉進化條件：Level 16,064勇基拉→065胡地進化條件：通信進化,42,19.5kg / 43lbs,超,
35.0,30.0,40.0,120.0,70.0,105.0,勇基拉,64.0,70,魔法防守,5120.0,超,♂ 3 : ♀ 1,100.0,ユンゲラー,同步,,1059860.0,Kadabra,人型類,"1.3m / 4'03""",063凱西→064勇基拉進化條件：Level 16,064勇基拉→065胡地進化條件：通信進化,43,56.5kg / 124.6lbs,超,
50.0,45.0,55.0,135.0,95.0,120.0,胡地,65.0,70,魔法防守,5120.0,超,♂ 3 : ♀ 1,50.0,フーディン,同步,,1059860.0,Alakazam,人型類,"1.5m / 4'11""",063凱西→064勇基拉進化條件：Level 16,064勇基拉→065胡地進化條件：通信進化,44,48kg / 105.8lbs,超,
80.0,50.0,70.0,35.0,35.0,35.0,腕力,66.0,70,不屈之心,5120.0,格,♂ 3 : ♀ 1,180.0,ワンリキー,毅力,無防守,1059860.0,Machop,人型類,"0.8m / 2'07""",066腕力→067豪力進化條件：Level 28,067豪力→068怪力進化條件：通信進化,95,19.5kg / 43lbs,格,
100.0,70.0,80.0,50.0,60.0,45.0,豪力,67.0,70,不屈之心,5120.0,格,♂ 3 : ♀ 1,90.0,ゴーリキー,毅力,無防守,1059860.0,Machoke,人型類,"1.5m / 4'11""",066腕力→067豪力進化條件：Level 28,067豪力→068怪力進化條件：通信進化,96,70.5kg / 155.4lbs,格,
130.0,80.0,90.0,65.0,85.0,55.0,怪力,68.0,70,不屈之心,5120.0,格,♂ 3 : ♀ 1,45.0,カイリキー,毅力,無防守,1059860.0,Machamp,人型類,"1.6m / 5'03""",066腕力→067豪力進化條件：Level 28,067豪力→068怪力進化條件：通信進化,97,130kg / 286.6lbs,格,
75.0,35.0,50.0,70.0,30.0,40.0,喇叭芽,69.0,70,貪吃鬼,5120.0,草 / 毒,♂ 1 : ♀ 1,255.0,マダツボミ,葉綠素,,1059860.0,Bellsprout,植物類,"0.7m / 2'04""",069喇叭芽→070口呆花進化條件：Level 21,070口呆花→071大食花進化條件：使用道具「葉之石」,---,4kg / 8.8lbs,草 , 毒
90.0,50.0,65.0,85.0,45.0,55.0,口呆花,70.0,70,貪吃鬼,5120.0,草 / 毒,♂ 1 : ♀ 1,120.0,ウツドン,葉綠素,,1059860.0,Weepinbell,植物類,"1m / 3'03""",069喇叭芽→070口呆花進化條件：Level 21,070口呆花→071大食花進化條件：使用道具「葉之石」,---,6.4kg / 14.1lbs,草 , 毒
105.0,65.0,80.0,100.0,70.0,70.0,大食花,71.0,70,貪吃鬼,5120.0,草 / 毒,♂ 1 : ♀ 1,45.0,ウツボット,葉綠素,,1059860.0,Victreebel,植物類,"1.7m / 5'07""",069喇叭芽→070口呆花進化條件：Level 21,070口呆花→071大食花進化條件：使用道具「葉之石」,---,15.5kg / 34.2lbs,草 , 毒
40.0,35.0,40.0,50.0,100.0,70.0,瑪瑙水母,72.0,70,雨盤,5120.0,水 / 毒,♂ 1 : ♀ 1,190.0,メノクラゲ,恒淨之軀,汙泥漿,1250000.0,Tentacool,水中類3,"0.9m / 2'11""",072瑪瑙水母→073毒刺水母進化條件：Level 30,,106,45.5kg / 100.3lbs,水 , 毒
70.0,65.0,80.0,80.0,120.0,100.0,毒刺水母,73.0,70,雨盤,5120.0,水 / 毒,♂ 1 : ♀ 1,60.0,ドククラゲ,恒淨之軀,汙泥漿,1250000.0,Tentacruel,水中類3,"1.6m / 5'03""",072瑪瑙水母→073毒刺水母進化條件：Level 30,,107,55kg / 121.3lbs,水 , 毒
80.0,100.0,40.0,30.0,30.0,20.0,小拳石,74.0,70,沒有隱藏特性,3840.0,岩 / 地,♂ 1 : ♀ 1,255.0,イシツブテ,結實,堅硬腦袋,1059860.0,Geodude,礦物類,"0.4m / 0.4m / 1'04"" / 1'04""",074小拳石→075隆隆石進化條件：Level 25,075隆隆石→076隆隆岩進化條件：通信進化,229,20.0kg / 20.3kg / 44.1lbs / 44.8lbs,岩 , 地
95.0,115.0,55.0,45.0,45.0,35.0,隆隆石,75.0,70,沒有隱藏特性,3840.0,岩 / 地,♂ 1 : ♀ 1,120.0,ゴローン,結實,堅硬腦袋,1059860.0,Graveler,礦物類,"1.0m / 1.0m / 3'03"" / 3'03""",074小拳石→075隆隆石進化條件：Level 25,075隆隆石→076隆隆岩進化條件：通信進化,230,105.0kg / 110.0kg / 231.5lbs / 242.5lbs,岩 , 地
120.0,130.0,80.0,55.0,65.0,45.0,隆隆岩,76.0,70,沒有隱藏特性,3840.0,岩 / 地,♂ 1 : ♀ 1,45.0,ゴローニャ,結實,堅硬腦袋,1059860.0,Golem,礦物類,"1.4m / 1.7m / 4'07"" / 5'07""",074小拳石→075隆隆石進化條件：Level 25,075隆隆石→076隆隆岩進化條件：通信進化,231,300.0kg / 316.0kg / 661.4lbs / 696.7lbs,岩 , 地
85.0,55.0,50.0,65.0,65.0,90.0,小火馬,77.0,70,火焰之軀,5120.0,火,♂ 1 : ♀ 1,190.0,ポニータ,引火,逃跑,1000000.0,Ponyta,陸上類,"1m / 3'03""",077小火馬→078烈焰馬進化條件：Level 40,,---,30kg / 66.1lbs,火,
100.0,70.0,65.0,80.0,80.0,105.0,烈焰馬,78.0,70,火焰之軀,5120.0,火,♂ 1 : ♀ 1,60.0,ギャロップ,引火,逃跑,1000000.0,Rapidash,陸上類,"1.7m / 5'07""",077小火馬→078烈焰馬進化條件：Level 40,,---,95kg / 209.4lbs,火,
65.0,65.0,90.0,40.0,40.0,15.0,呆呆獸,79.0,70,再生力,5120.0,水 / 超,♂ 1 : ♀ 1,190.0,ヤドン,遲鈍,我行我素,1000000.0,Slowpoke,怪獸類 / 水中類1,"1.2m / 3'11""",,,37,36kg / 79.4lbs,水 , 超
75.0,110.0,95.0,100.0,80.0,30.0,呆殼獸,80.0,70,再生力,5120.0,水 / 超,♂ 1 : ♀ 1,75.0,ヤドラン,遲鈍,我行我素,1000000.0,Slowbro,怪獸類 / 水中類1,"1.6m / 5'03""",,,38,78.5kg / 173.1lbs,水 , 超
