,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
12,14,はっぱカッター,飛葉快刀,物理,55,95%,25/,,,,自身,較容易命中要害。攻擊命中複數Pokemon時，威力降為0.75倍。,,,草
13,15,はなびらのまい,花瓣舞,特殊,120,100%,10/,,,,我方全員,2到3回合連續攻擊（攻擊中無法操作）。效果結束後，自己陷入「混亂」狀態。,,,草
14,16,はなふぶき,落英繽紛,物理,90,100%,15/,,,,全場場地,攻擊命中複數Pokemon時，威力降為0.75倍。,,,草
15,17,もりののろい,森林詛咒,變化,,100%,20/,,,,對方單體,為對手追加「草」屬性。,,,草
16,18,やどりぎのタネ,寄生種子,變化,,90%,10/,,,,對方單體,每回合結束時，使對手受到其HP最大值8分之1的傷害，而且將傷害完全轉換為自己的HP（即使使用者不在場上，效果仍會持續）。對「草」系的Pokemon無法發揮效果。,,,草
17,19,わたほうし,棉孢子,變化,,100%,40/,,,,自身,使對手的「速度」降低兩階級。,,,草
18,20,アロマセラピー,芳香治療,變化,,0%,5/,,,,對方全體,含隊伍成員在內，治療我方Pokemon的所有異常狀態。,,,草
19,21,ウッドハンマー,木槌,物理,120,100%,15/,,,,對方單體,自己也會受到給予對手傷害值3分之1的損傷。,,,草
20,22,ウッドホーン,木角,物理,75,100%,10/,,,,對方單體,給予對手之傷害值，有2分之1會轉為自己的HP。,,,草
21,23,エナジーボール,能量球,特殊,90,100%,10/,,,,對方單體,有10%機率引發使對手「特防」降低一階級的追加效果。,53.0,,草
22,24,キノコのほうし,蘑菇孢子,變化,,100%,15/,,,,對方單體,使對手陷入「睡眠」狀態。,,,草
23,25,ギガドレイン,終極吸取,特殊,75,100%,10/,,,,對方單體,給予對手之傷害值，有2分之1會轉換為自己的HP。,,,草
24,26,グラスフィールド,青草場地,變化,,0%,10/,,,,對方隨機,使腳下出現持續5回合的草海，在地面上的Pokemon，每回合結束時，恢復HP最大值的16分之1且草屬性招式威力將增加為1.5倍。,,,草
25,27,グラスミキサー,青草攪拌器,特殊,65,90%,10/,,,,對方單體,有50%機率引發使對手「命中率」降低一階級的追加效果。,,,草
26,28,コットンガード,棉花防守,變化,,0%,10/,,,,隊友,使自己的「防禦」提升3階級。,,,草
27,29,シードフレア,種子閃光,特殊,120,85%,5/,,,,對方單體,有40%機率引發使對手「防禦」降低兩階級的追加效果。,,,草
28,30,ソーラービーム,日光束,特殊,120,100%,10/,,,,對方單體,第一回合蓄力，第二回合攻擊。天候為「ひざしがつよい（晴天）」狀態時可不需蓄力就直接攻擊。天候為「あめ（下雨）」、「あられ（冰雹）」、「すなあらし（沙塵）」時威力減半。,22.0,,草
29,31,ソーラーブレード,日光刃,物理,125,100%,10/,,,,對方單體,,,,草
30,32,タネばくだん,種子炸彈,物理,80,100%,15/,,,,對方單體,普通的攻擊。,,,草
31,33,タネマシンガン,種子機關槍,物理,25,100%,30/,,,,對方單體,連續二到五次的攻擊。37.5%攻擊2或3次、12.5%攻擊4或5次。,,,草
32,34,トロピカルキック,熱帶踢,物理,70,100%,15/,,,,對方單體,,,,草
33,35,ニードルアーム,尖刺臂,物理,60,100%,15/,,,,對方單體,有30%機率引發使對手產生「畏懼」反應的追加效果。,,,草
34,36,ニードルガード,尖刺防守,變化,,0%,10/,4.0,,,隊友,防禦該回合對手的攻擊。可使使出直接攻擊招式的對手受到HP最大值8分之1的傷害。連續使用時，成功率會降低50%。,,,草
35,37,ハードプラント,瘋狂植物,特殊,150,90%,5/,,,,對方單體,使用後，下一回合將無法行動。,,,草
36,38,パワーウィップ,強力鞭打,物理,120,85%,10/,,,,對方單體,普通的攻擊。,,,草
37,39,ブルームシャインエクストラ,絢爛繽紛花怒放,物理,--,0%,1/,,,,對方單體,,,,草
38,40,マジカルリーフ,魔法葉,特殊,60,0%,20/,,,,對方單體,攻擊必定命中對手。,,,草
39,41,メガドレイン,超級吸取,特殊,40,100%,15/,,,,對方單體,給予對手之傷害值，有2分之1會轉換為自己的HP。,,,草
40,42,リーフストーム,飛葉風暴,特殊,130,90%,5/,,,,對方單體,使自己的「特攻」降低兩階級。,,,草
41,43,リーフブレード,葉刃,物理,90,100%,15/,,,,對方單體,較容易命中要害。,,,草
