,index,日文名,中文名,類型,威力,命中,PP/上限,先制,模式,要害,攻擊範圍,描述,TM,HM,type
13,15,ほのおのうず,火焰旋渦,特殊,35,85%,15/,,,,對方單體,4到5回合間，每回合結束時使對手受到HP最大值8分之1的損傷。期間內對手無法逃走。對手處於「冰凍」狀態時，冰將會融化。,,,火
14,16,ほのおのちかい,火之誓約,特殊,80,100%,10/,,,,對方單體,配合「みずのちかい」使用時，威力變成150，天空將出現彩虹。4回合內，我方Pokemon的招式較容易引發追加效果。配合「くさのちかい」使用時，威力變成150，而且周圍變成火海。4回合內，除「火」系的Pokemon之外，在回合結束時將會受到類似「燒傷」狀態的少許傷害。對手處於「冰凍」狀態時，冰將會融化。,,,火
15,17,ほのおのまい,火之舞,特殊,80,100%,10/,,,,對方單體,有50%機率引發使自己「特攻」提升一階級的追加效果。,,,火
16,18,ほのおのキバ,火焰牙,物理,65,95%,15/,,,,對方單體,有10%機率引發使對手陷入「燒傷」狀態，或是產生畏懼反應的追加效果。對手處於「冰凍」狀態時，冰將會融化。,,,火
17,19,ほのおのパンチ,火焰拳,物理,75,100%,15/,,,,對方單體,有30%機率引發使對手陷入「燒傷」狀態的追加效果。對手處於「冰凍」狀態時，冰將會融化。,,,火
18,20,ほのおのムチ,火焰鞭,物理,80,100%,15/,,,,對方單體,,,,火
19,21,もえつきる,燃盡,特殊,130,100%,5/,,,,對方單體,,,,火
20,22,やきつくす,燒盡,特殊,60,100%,15/,,,,自身,引發燒掉對手所擁有的「果實」或「寶石」。使之變得無法使用的追加效果。對手處於「冰凍」狀態時，冰將會融化。攻擊命中複數的Pokemon時，威力降為0.75倍。,,,火
21,23,れんごく,煉獄,特殊,100,50%,5/,,,,對方單體,有100%機率引發使對手陷入「燒傷」狀態的追加效果，對手處於「冰凍」狀態時，冰將會融化。,,,火
22,24,オーバーヒート,過熱,特殊,130,90%,5/,,,,對方單體,自己的「特攻」降低兩階級，對手處於「冰凍」狀態時，冰將會融化。,50.0,,火
23,25,クロスフレイム,交錯火焰,特殊,100,100%,5/,,,,對方單體,本回合內有其他Pokemon使用過「クロスサンダー」，威力增加為2倍。,,,火
24,26,ダイナミックフルフレイム,超強極限爆焰彈,物理,--,0%,1/,,,,對方單體,,,,火
25,27,トラップシェル,陷阱甲殼,特殊,150,100%,5/,,,,自身,,,,火
26,28,ニトロチャージ,蓄能焰襲,物理,50,100%,20/,,,,對方單體,有100%機率引發使自己「速度」提升一階級的追加效果。對手處於「冰凍」狀態時，冰將會融化。,43.0,,火
27,29,ヒートスタンプ,高溫重壓,物理,--,100%,10/,,,,對方單體,自身的「體重」比對象愈重，則威力愈強（最高為120）。體重/對象體重>=5 120威力、5>體重/對象體重>=4 100威力、4>體重/對象體重>=3 80威力、3>體重/對象體重>=2 60威力、體重/對象體重<2 40威力。,,,火
28,30,フレアドライブ,閃焰衝鋒,物理,120,100%,15/,,,,對方單體,自己也會受到給予對手傷害值3分之1的損傷。有10%機率引發使對手陷入「燒傷」狀態的追加效果。對手處於「冰凍」狀態時，冰將會融化。在自己處於「冰凍」狀態時也可以使用，可將自己的冰融化。,,,火
29,31,ブラストバーン,爆炸烈焰,特殊,150,90%,5/,,,,對方單體,使用後，下一回合將無法行動。對手處於「冰凍」狀態時，冰將會融化。,,,火
30,32,ブレイズキック,火焰踢,物理,85,90%,10/,,,,對方單體,較容易命中要害。有10%機率引發使對手陷入「燒傷」狀態的追加效果。,,,火
31,33,マグマストーム,熔岩風暴,特殊,100,75%,5/,,,,對方單體,4到5回合間，每回合結束時使對手受到HP最大值16分之1的損傷。期間內對手無法逃走。,,,火
32,34,マジカルフレイム,魔法火焰,特殊,75,100%,10/,,,,對方單體,有100%機率引發使對手「特攻」降低一階級的追加效果。,,,火
33,35,Ｖジェネレート,Ｖ熱焰,物理,180,95%,5/,,,,對方單體,自己的「防禦」、「特防」、「速度」降低一階級。,,,火
